,Equal_Weight,MV_Hist,MV_ML
Total Return,0.3125080458090981,0.23211646578062006,0.28228276902926597
Ann. Return,0.07332194824177556,0.059081910159155496,0.06824738986084113
Ann. Vol,0.16503360107846185,0.24169284564177526,0.22762809122201821
Sharpe,0.44428496841025805,0.24445038909725805,0.2998197168655941
Max Drawdown,-0.21703195215546625,-0.28870413611661455,-0.3319537434792363
