rebalance_date,mean,std,sharpe,VaR_5,CVaR_5
2021-04-01,0.1404491840660567,0.08373902253670683,1.6772250237873398,0.008872245259121616,-0.021985627891516236
2021-06-30,0.0023860177715865436,0.04197906181603138,0.05683828242858319,-0.0659257859573789,-0.08168305029056848
2021-09-27,0.030963402334101397,0.05526627154026377,0.5602585712977448,-0.056726679018634464,-0.0779222634174607
2021-12-23,0.048604184513772165,0.062163630163457925,0.7818749385447489,-0.05040929571499852,-0.07510054462571407
2022-03-22,0.014269630179323574,0.10505663538657467,0.13582797627980298,-0.1475251424735694,-0.18559717669479656
2022-06-20,-0.09497410864397642,0.11016833703029917,-0.862081712442079,-0.2652067031603338,-0.3011681056480966
2022-09-15,-0.035315660646722515,0.1120249929499711,-0.31524805060683225,-0.20646648965525685,-0.24500397609051935
2022-12-13,-0.011342433238562797,0.11774281171735587,-0.09633227772571416,-0.19100042906192766,-0.22840425583926066
2023-03-13,0.0002118019075590075,0.07548580907794794,0.0028058506644645913,-0.11980248270249136,-0.14735003690302834
2023-06-09,0.028163655179642023,0.07930526697420776,0.3551296938298135,-0.09591398408576789,-0.12451429961885348
2023-09-06,0.06507264473325006,0.053345198916608466,1.2198406989722625,-0.020790309474568464,-0.040732222331719775
2023-12-04,0.12239666298731841,0.07300386216830536,1.6765779145374715,0.005499819432663637,-0.02021682018475238
2024-03-04,0.11505624562421805,0.06948292194473962,1.6558924467183935,0.0025945843523467937,-0.02219954275405031
2024-05-31,0.07968220494799762,0.0634442741384872,1.2559400518014596,-0.019846619886090024,-0.043497859728755243
2024-08-28,0.0738530975311474,0.06330604893696938,1.1666041203215696,-0.02756971742409679,-0.05238362203503973
2024-11-25,0.07258407299348588,0.05772754929521686,1.2573558704578507,-0.018260468163954633,-0.03960126572759187
