rebalance_date,mean,std,sharpe,VaR_5,CVaR_5
2021-04-01,0.4523528428613119,0.17183286238685722,2.632516484785686,0.19042476275290868,0.13233632782024546
2021-06-30,0.5420374752349459,0.08510398184554052,6.369120027999593,0.4078101946262251,0.3759537606018915
2021-09-27,0.309237360515085,0.0842030927389121,3.6725178429482983,0.17544543967338083,0.14612666086943601
2021-12-23,0.22293279845543834,0.11145826334370632,2.00014598978611,0.049492948527105014,0.008423320722514997
2022-03-22,0.37995513483569626,0.1689658712909977,2.2487093513773977,0.12086529842582056,0.06739847028024706
2022-06-20,0.13892279916861888,0.12578399233655205,1.1044553173102678,-0.054370992645712275,-0.09669019111783947
2022-09-15,0.15960382923992752,0.1500609744204221,1.0635931817473705,-0.07094755549813055,-0.12083726001986472
2022-12-13,0.13230323931625285,0.1407531248794544,0.9399666219102537,-0.0835077926913966,-0.12944416795044628
2023-03-13,0.3558651977383122,0.17169799875925618,2.072622862874968,0.09034678950291997,0.03829779156032903
2023-06-09,0.27842482782354466,0.15369387143476493,1.8115545221445055,0.04431710787451061,-0.004506002057937524
2023-09-06,0.33801432453302743,0.10173324774934019,3.3225551332624166,0.17767417084629833,0.14364001083440367
2023-12-04,0.4482851682555114,0.15961721625231046,2.8085013558117513,0.20086477187899723,0.14580403460421204
2024-03-04,0.3604503838825833,0.10004713819314745,3.6028055413910054,0.20147033773706696,0.1678804268588272
2024-05-31,0.2494337837684304,0.10603744205997129,2.3523180012901372,0.08126864010188481,0.04550528222712735
2024-08-28,0.21741191792139195,0.11102950576692772,1.958145417469311,0.04342968383147012,0.005207363653064858
2024-11-25,0.24300405742287198,0.11303296490186285,2.149851219366423,0.06706766043531297,0.02647846383843083
