rebalance_date,mean,std,sharpe,VaR_5,CVaR_5
2021-04-01,0.48933168793470305,0.18261619482033076,2.6795634878721364,0.21058530099919626,0.15346853481099407
2021-06-30,0.5719505100330221,0.09267994849455657,6.171243287501555,0.42413960996595923,0.38932085278983386
2021-09-27,0.31355685397434907,0.09365811810293903,3.347887618558818,0.16563852109723826,0.1296154418352526
2021-12-23,0.23842537301174713,0.11284930810644513,2.1127765602856186,0.06359169399986128,0.02472443246892411
2022-03-22,0.5627002388920632,0.16562492681352245,3.3974369058928486,0.30390556199220825,0.24754726357867524
2022-06-20,0.18320353678582843,0.16424553634180714,1.115424752880762,-0.06658367041900369,-0.11607078612829853
2022-09-15,0.1774922738200035,0.1478500807970866,1.2004881760166137,-0.0452966839544631,-0.09395252225434995
2022-12-13,0.15072357042775442,0.14070639869473342,1.0711920127723085,-0.06683553980870825,-0.11109028315741816
2023-03-13,0.41481929790417527,0.18380480171003494,2.2568469052216713,0.13150268742702192,0.07312088827488566
2023-06-09,0.29781590278526476,0.16797842394722934,1.772941403943783,0.04158891365848859,-0.010462834124967253
2023-09-06,0.3781668259536867,0.12713745086261538,2.9744723005523643,0.18110652232356672,0.1322107195291964
2023-12-04,0.5036785868700122,0.1427762318684847,3.5277481432201196,0.2804592084503657,0.22850913755229163
2024-03-04,0.38137360926733743,0.1273344974764848,2.995053318820901,0.184798500777138,0.14226996676428458
2024-05-31,0.30046922212113875,0.11326028809073191,2.652908863170428,0.12316104069803357,0.08420105127060745
2024-08-28,0.2345629489041768,0.10554966301528446,2.222299363193705,0.06895857131610185,0.029973681665881307
2024-11-25,0.2658582635186753,0.1272217885213829,2.0897227323131915,0.0698340733329881,0.02842002536377191
