date,portfolio
2021-04-05,1.0049132554169824
2021-04-06,1.0092896338693023
2021-04-07,1.0051898821488814
2021-04-08,1.00244392838968
2021-04-09,1.0051725996364727
2021-04-12,0.9977520025405701
2021-04-13,0.9944628409943884
2021-04-14,0.9916522574431484
2021-04-15,0.9929799582915525
2021-04-16,0.9962907369646857
2021-04-19,0.9807040360969643
2021-04-20,0.9616573956800833
2021-04-21,0.9877292341977579
2021-04-22,0.9787179844491023
2021-04-23,0.993370509028887
2021-04-26,0.9995031707665787
2021-04-27,1.0090759560931075
2021-04-28,1.006270622138024
2021-04-29,1.0066069011648513
2021-04-30,0.9939060195617198
2021-05-03,0.9997290369658828
2021-05-04,0.999422553555791
2021-05-05,1.0107301646614213
2021-05-06,1.0171706377523628
2021-05-07,1.0373602715391252
2021-05-10,1.0258189856538895
2021-05-11,1.00528337988371
2021-05-12,0.9714404482465948
2021-05-13,0.9866211070133518
2021-05-14,1.008718840946269
2021-05-17,1.0097972798048516
2021-05-18,0.9993437894611608
2021-05-19,0.989165058658434
2021-05-20,0.9923668428011528
2021-05-21,0.9955784080788638
2021-05-24,1.0053864515387307
2021-05-25,0.9993677374521224
2021-05-26,1.015724634602693
2021-05-27,1.0294597106642445
2021-05-28,1.0244841616177112
2021-06-02,1.0212595142235756
2021-06-03,1.0201676739937584
2021-06-04,1.0266562974644409
2021-06-07,1.0201366627225374
2021-06-08,1.024337861708096
2021-06-09,1.014967076275614
2021-06-10,1.0050607697350842
2021-06-11,1.0124432994481016
2021-06-14,1.0024866862943256
2021-06-15,1.0040949608948397
2021-06-16,0.9980901736915433
2021-06-17,0.9775011958546654
2021-06-18,0.9636452776459663
2021-06-21,0.9853188123672687
2021-06-22,0.988568993588831
2021-06-23,0.9902410000729067
2021-06-24,0.9982700426141959
2021-06-25,0.9990785470279931
2021-06-28,0.9916373062994907
2021-06-29,0.9869592527966454
2021-07-01,0.9885442037154024
2021-07-02,0.9993806905376462
2021-07-07,0.9991111198011232
2021-07-08,0.9909334423695609
2021-07-09,1.002171751468357
2021-07-12,1.0079663966244008
2021-07-13,1.0018873183907002
2021-07-14,0.9943848613887972
2021-07-15,0.9845796976949118
2021-07-16,0.9789603957527657
2021-07-19,0.9772450787538851
2021-07-20,0.9929303948180874
2021-07-21,1.0096518620031552
2021-07-22,1.0180161144554292
2021-07-23,1.0309151305571407
2021-07-26,1.0260589624933107
2021-07-27,1.0191295153762254
2021-07-28,1.0286461267215172
2021-07-29,1.0404146133241705
2021-07-30,1.039891396133829
2021-08-02,1.0367404808940273
2021-08-03,1.048169992581348
2021-08-04,1.0573988497185667
2021-08-05,1.060454498743623
2021-08-06,1.0593935261389404
2021-08-09,1.0614239466879571
2021-08-10,1.0553432110972536
2021-08-11,1.0544860127011395
2021-08-12,1.0615598922037794
2021-08-13,1.0648859848538983
2021-08-16,1.0618997216801398
2021-08-17,1.0448513255626055
2021-08-18,1.0399120063300649
2021-08-19,1.046043540426331
2021-08-20,1.060951348253459
2021-08-23,1.0764288752619375
2021-08-24,1.0791666916645586
2021-08-25,1.084995642366579
2021-08-26,1.0812924276282467
2021-08-27,1.0933602490357366
2021-08-30,1.1034356027310739
2021-08-31,1.0997882898223776
2021-09-01,1.1025325428286399
2021-09-02,1.1074460323920317
2021-09-03,1.1102510177677138
2021-09-08,1.1059026471217095
2021-09-09,1.097867162711959
2021-09-10,1.0920684659717366
2021-09-13,1.083701397993807
2021-09-14,1.0821801640866453
2021-09-15,1.0905316724579373
2021-09-16,1.092325107426989
2021-09-17,1.0875170889818477
2021-09-20,1.0657131611180963
2021-09-21,1.0685079139967866
2021-09-22,1.0864073334325186
2021-09-23,1.1013809188637014
2021-09-24,1.099518064049797
2021-09-28,1.063596432617296
2021-09-29,1.062808278883298
2021-09-30,1.0565903016544922
2021-10-01,1.0554887307737955
2021-10-04,1.0297400878665768
2021-10-05,1.0397816781799967
2021-10-06,1.0333793116210015
2021-10-07,1.0452666092339882
2021-10-08,1.0310344402089477
2021-10-11,1.0258230718642984
2021-10-12,1.0310568013321155
2021-10-13,1.0409554541720953
2021-10-14,1.06347739103112
2021-10-15,1.063778075288514
2021-10-18,1.0790401098883364
2021-10-19,1.0859783332456283
2021-10-20,1.0879426288352385
2021-10-21,1.1051338449455221
2021-10-22,1.1068897380837388
2021-10-25,1.1213432352492294
2021-10-26,1.1282818552869653
2021-10-27,1.12076999755233
2021-10-28,1.1412196549967621
2021-10-29,1.1527853455783497
2021-11-01,1.1574963325810734
2021-11-02,1.1620516601320743
2021-11-03,1.1530995317355197
2021-11-04,1.149202622710581
2021-11-05,1.1308751779098558
